Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.
"36005027402, NY",36005027402,36005027402,46,,
"36081100802, NY",36081100802,36081100802,31,,
"36085004000, NY",36085004000,36085004000,30,,
"36081006202, NY",36081006202,36081006202,38,,
"36005040900, NY",36005040900,36005040900,39,,
"36085025100, NY",36085025100,36085025100,44,,
"36081094202, NY",36081094202,36081094202,29,,
"36085000700, NY",36085000700,36085000700,32,,
"36061027500, NY",36061027500,36061027500,44,,
"36061006200, NY",36061006200,36061006200,34,,
"36085014604, NY",36085014604,36085014604,42,,
"36005028400, NY",36005028400,36005028400,51,,
"36081099802, NY",36081099802,36081099802,39,,
"36061016200, NY",36061016200,36061016200,35,,
"36085017010, NY",36085017010,36085017010,39,,
"36081086400, NY",36081086400,36081086400,34,,
"36047122000, NY",36047122000,36047122000,30,,
"36085018901, NY",36085018901,36085018901,42,,
"36085017009, NY",36085017009,36085017009,42,,
"36081127700, NY",36081127700,36081127700,41,,
"36081134700, NY",36081134700,36081134700,39,,
"36081029400, NY",36081029400,36081029400,34,,
"36081093401, NY",36081093401,36081093401,46,,
"36081032000, NY",36081032000,36081032000,30,,
"36061031100, NY",36061031100,36061031100,N/A,,
"36081138501, NY",36081138501,36081138501,41,,
"36081152902, NY",36081152902,36081152902,47,,
"36061025500, NY",36061025500,36061025500,31,,
"36085013204, NY",36085013204,36085013204,45,,
"36047062800, NY",36047062800,36047062800,43,,
"36085017008, NY",36085017008,36085017008,43,,
"36081121100, NY",36081121100,36081121100,N/A,,
"36005006300, NY",36005006300,36005006300,37,,
"36005029301, NY",36005029301,36005029301,53,,
"36085013203, NY",36085013203,36085013203,45,,
"36085008100, NY",36085008100,36085008100,44,,
"36085018702, NY",36085018702,36085018702,48,,
"36085027302, NY",36085027302,36085027302,43,,
"36081101001, NY",36081101001,36081101001,34,,
"36081080900, NY",36081080900,36081080900,42,,
"36081129102, NY",36081129102,36081129102,45,,
"36085015100, NY",36085015100,36085015100,39,,
"36085017012, NY",36085017012,36085017012,40,,
"36081101700, NY",36081101700,36081101700,47,,
"36085031902, NY",36085031902,36085031902,31,,
"36085007400, NY",36085007400,36085007400,41,,
"36005046202, NY",36005046202,36005046202,38,,
"36081099701, NY",36081099701,36081099701,49,,
"36081100801, NY",36081100801,36081100801,30,,
"36085006700, NY",36085006700,36085006700,44,,
"36061029900, NY",36061029900,36061029900,41,,
"36005002400, NY",36005002400,36005002400,N/A,,
"36081157901, NY",36081157901,36081157901,46,,
"36081147900, NY",36081147900,36081147900,41,,
"36047015400, NY",36047015400,36047015400,N/A,,
"36085030302, NY",36085030302,36085030302,37,,
"36081099200, NY",36081099200,36081099200,31,,
"36081044400, NY",36081044400,36081044400,35,,
"36081111300, NY",36081111300,36081111300,44,,
"36081141700, NY",36081141700,36081141700,40,,
"36085004700, NY",36085004700,36085004700,30,,
"36047103400, NY",36047103400,36047103400,31,,
"36081001900, NY",36081001900,36081001900,37,,
"36005019400, NY",36005019400,36005019400,32,,
"36085014605, NY",36085014605,36085014605,46,,
"36081150701, NY",36081150701,36081150701,47,,
"36081103900, NY",36081103900,36081103900,44,,
"36085015602, NY",36085015602,36085015602,42,,
"36061004400, NY",36061004400,36061004400,34,,
"36081079300, NY",36081079300,36081079300,N/A,,
"36081150702, NY",36081150702,36081150702,50,,
"36081093402, NY",36081093402,36081093402,42,,
"36047069602, NY",36047069602,36047069602,39,,
"36047109800, NY",36047109800,36047109800,31,,
"36085003300, NY",36085003300,36085003300,35,,
"36081056800, NY",36081056800,36081056800,39,,
"36085013400, NY",36085013400,36085013400,46,,
"36085013302, NY",36085013302,36085013302,28,,
"36005045600, NY",36005045600,36005045600,44,,
"36081104700, NY",36081104700,36081104700,41,,
"36085005000, NY",36085005000,36085005000,41,,
"36061013500, NY",36061013500,36061013500,41,,
"36085012200, NY",36085012200,36085012200,41,,
"36081091900, NY",36081091900,36081091900,42,,
"36081033000, NY",36081033000,36081033000,35,,
"36085010500, NY",36085010500,36085010500,36,,
"36061012900, NY",36061012900,36061012900,36,,
"36081065501, NY",36081065501,36081065501,N/A,,
"36047030400, NY",36047030400,36047030400,43,,
"36061023801, NY",36061023801,36061023801,37,,
"36047004600, NY",36047004600,36047004600,41,,
"36081028800, NY",36081028800,36081028800,38,,
"36085000800, NY",36085000800,36085000800,38,,
"36085016901, NY",36085016901,36085016901,40,,
"36085002002, NY",36085002002,36085002002,42,,
"36085018902, NY",36085018902,36085018902,42,,
"36047105804, NY",36047105804,36047105804,42,,
"36061007900, NY",36061007900,36061007900,41,,
"36061003900, NY",36061003900,36061003900,38,,
"36085021300, NY",36085021300,36085021300,31,,
"36047057900, NY",36047057900,36047057900,34,,
"36061000202, NY",36061000202,36061000202,44,,
"36081126700, NY",36081126700,36081126700,20,,
"36081083700, NY",36081083700,36081083700,41,,
"36047118000, NY",36047118000,36047118000,N/A,,
"36085009601, NY",36085009601,36085009601,49,,
"36081136700, NY",36081136700,36081136700,43,,
"36081068000, NY",36081068000,36081068000,40,,
"36047005000, NY",36047005000,36047005000,45,,
"36081037600, NY",36081037600,36081037600,39,,
"36061000900, NY",36061000900,36061000900,33,,
"36081033402, NY",36081033402,36081033402,42,,
"36081137700, NY",36081137700,36081137700,39,,
"36047110400, NY",36047110400,36047110400,32,,
"36085012100, NY",36085012100,36085012100,41,,
"36005029600, NY",36005029600,36005029600,31,,
"36081084602, NY",36081084602,36081084602,35,,
"36081157902, NY",36081157902,36081157902,40,,
"36047011900, NY",36047011900,36047011900,33,,
"36085017011, NY",36085017011,36085017011,44,,
"36061031703, NY",36061031703,36061031703,34,,
"36081061301, NY",36081061301,36081061301,37,,
"36005009600, NY",36005009600,36005009600,34,,
"36081060701, NY",36081060701,36081060701,N/A,,
"36085030301, NY",36085030301,36085030301,32,,
"36081162100, NY",36081162100,36081162100,38,,
"36081103202, NY",36081103202,36081103202,28,,
"36085006400, NY",36085006400,36085006400,38,,
"36005027401, NY",36005027401,36005027401,48,,
"36081161700, NY",36081161700,36081161700,40,,
"36061003700, NY",36061003700,36061003700,39,,
"36081122701, NY",36081122701,36081122701,43,,
"36005048400, NY",36005048400,36005048400,39,,
"36081130100, NY",36081130100,36081130100,42,,
"36081129104, NY",36081129104,36081129104,44,,
"36081065400, NY",36081065400,36081065400,36,,
"36061015200, NY",36061015200,36061015200,43,,
"36005033500, NY",36005033500,36005033500,38,,
"36061031704, NY",36061031704,36061031704,38,,
"36081133300, NY",36081133300,36081133300,48,,
"36081031700, NY",36081031700,36081031700,42,,
"36081120700, NY",36081120700,36081120700,43,,
"36081063700, NY",36081063700,36081063700,44,,
"36081063800, NY",36081063800,36081063800,37,,
"36081097300, NY",36081097300,36081097300,45,,
"36081157903, NY",36081157903,36081157903,46,,
"36081099704, NY",36081099704,36081099704,52,,
"36047030800, NY",36047030800,36047030800,40,,
"36085014607, NY",36085014607,36085014607,38,,
"36047034800, NY",36047034800,36047034800,37,,
"36081038301, NY",36081038301,36081038301,N/A,,
"36081021600, NY",36081021600,36081021600,42,,
"36061024700, NY",36061024700,36061024700,35,,
"36081101002, NY",36081101002,36081101002,32,,
"36061021100, NY",36061021100,36061021100,32,,
"36061020500, NY",36061020500,36061020500,22,,
"36005035800, NY",36005035800,36005035800,33,,
"36061002400, NY",36061002400,36061002400,44,,
"36081047800, NY",36081047800,36081047800,41,,
"36081105900, NY",36081105900,36081105900,45,,
"36081099703, NY",36081099703,36081099703,50,,
"36081099900, NY",36081099900,36081099900,N/A,,
"36081025400, NY",36081025400,36081025400,22,,
"36005031000, NY",36005031000,36005031000,50,,
"36061015100, NY",36061015100,36061015100,37,,
"36081121500, NY",36081121500,36081121500,41,,
"36085020100, NY",36085020100,36085020100,38,,
"36081088901, NY",36081088901,36081088901,45,,
"36047069800, NY",36047069800,36047069800,43,,
"36061016300, NY",36061016300,36061016300,42,,
"36081014202, NY",36081014202,36081014202,40,,
"36085009602, NY",36085009602,36085009602,39,,
"36081103300, NY",36081103300,36081103300,41,,
"36061008601, NY",36061008601,36061008601,30,,
"36081035200, NY",36081035200,36081035200,35,,
"36081053900, NY",36081053900,36081053900,35,,
"36081086900, NY",36081086900,36081086900,36,,
"36081058000, NY",36081058000,36081058000,41,,
"36081005800, NY",36081005800,36081005800,41,,
"36081020500, NY",36081020500,36081020500,34,,
"36081012301, NY",36081012301,36081012301,36,,
"36085023100, NY",36085023100,36085023100,36,,
"36081134100, NY",36081134100,36081134100,41,,
"36005016300, NY",36005016300,36005016300,20,,
"36085003900, NY",36085003900,36085003900,31,,
"36047048500, NY",36047048500,36047048500,28,,
"36085011402, NY",36085011402,36085011402,40,,
"36081035700, NY",36081035700,36081035700,46,,
"36005030200, NY",36005030200,36005030200,43,,
"36081065600, NY",36081065600,36081065600,33,,
"36081094201, NY",36081094201,36081094201,32,,
"36081084000, NY",36081084000,36081084000,40,,
"36081077902, NY",36081077902,36081077902,34,,
"36005035100, NY",36005035100,36005035100,23,,
"36047005202, NY",36047005202,36047005202,43,,
"36081058200, NY",36081058200,36081058200,38,,
"36081117500, NY",36081117500,36081117500,44,,
"36081033401, NY",36081033401,36081033401,31,,
"36005032300, NY",36005032300,36005032300,47,,
"36061023802, NY",36061023802,36061023802,48,,
"36081140902, NY",36081140902,36081140902,43,,
"36061023700, NY",36061023700,36061023700,33,,
"36081000700, NY",36081000700,36081000700,36,,
"36081047600, NY",36081047600,36081047600,46,,
"36081024300, NY",36081024300,36081024300,40,,
"36081054200, NY",36081054200,36081054200,38,,
"36081142900, NY",36081142900,36081142900,46,,
"36081069400, NY",36081069400,36081069400,33,,
"36081020800, NY",36081020800,36081020800,36,,
"36085027705, NY",36085027705,36085027705,43,,
"36081042600, NY",36081042600,36081042600,76,,
"36085023900, NY",36085023900,36085023900,27,,
"36085027704, NY",36085027704,36085027704,40,,
"36005041400, NY",36005041400,36005041400,37,,
"36085002900, NY",36085002900,36085002900,30,,
"36081066300, NY",36081066300,36081066300,46,,
"36085011401, NY",36085011401,36085011401,35,,
"36005039700, NY",36005039700,36005039700,20,,
"36081029700, NY",36081029700,36081029700,36,,
"36047061002, NY",36047061002,36047061002,44,,
"36081054000, NY",36081054000,36081054000,38,,
"36081053500, NY",36081053500,36081053500,33,,
"36081035800, NY",36081035800,36081035800,34,,
"36047060800, NY",36047060800,36047060800,42,,
"36005009800, NY",36005009800,36005009800,37,,
"36081042400, NY",36081042400,36081042400,39,,
"36081047200, NY",36081047200,36081047200,51,,
"36081062400, NY",36081062400,36081062400,N/A,,
"36061023300, NY",36061023300,36061023300,34,,
"36005042600, NY",36005042600,36005042600,38,,
"36047002100, NY",36047002100,36047002100,35,,
"36081003300, NY",36081003300,36081003300,32,,
"36047107800, NY",36047107800,36047107800,51,,
"36047040700, NY",36047040700,36047040700,N/A,,
"36047069601, NY",36047069601,36047069601,36,,
"36081102900, NY",36081102900,36081102900,45,,
"36061024200, NY",36061024200,36061024200,30,,
"36081124100, NY",36081124100,36081124100,37,,
"36047111600, NY",36047111600,36047111600,32,,
"36047005602, NY",36047005602,36047005602,35,,
"36081122300, NY",36081122300,36081122300,42,,
"36061006900, NY",36061006900,36061006900,33,,
"36081083800, NY",36081083800,36081083800,36,,
