Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.
"36047001500, NY",36047001500,36047001500,32,,
"36005015200, NY",36005015200,36005015200,39,,
"36081084900, NY",36081084900,36081084900,38,,
"36081024600, NY",36081024600,36081024600,N/A,,
"36085001700, NY",36085001700,36085001700,37,,
"36005016600, NY",36005016600,36005016600,43,,
"36081022002, NY",36081022002,36081022002,37,,
"36047076800, NY",36047076800,36047076800,31,,
"36081015801, NY",36081015801,36081015801,38,,
"36081019400, NY",36081019400,36081019400,39,,
"36047037402, NY",36047037402,36047037402,48,,
"36085019700, NY",36085019700,36085019700,43,,
"36081038400, NY",36081038400,36081038400,38,,
"36081115100, NY",36081115100,36081115100,44,,
"36047114201, NY",36047114201,36047114201,32,,
"36081063200, NY",36081063200,36081063200,43,,
"36047090800, NY",36047090800,36047090800,30,,
"36047029200, NY",36047029200,36047029200,39,,
"36081074700, NY",36081074700,36081074700,44,,
"36005042500, NY",36005042500,36005042500,27,,
"36005012300, NY",36005012300,36005012300,29,,
"36047001300, NY",36047001300,36047001300,38,,
"36047005400, NY",36047005400,36047005400,45,,
"36047000200, NY",36047000200,36047000200,28,,
"36081079702, NY",36081079702,36081079702,44,,
"36005046000, NY",36005046000,36005046000,38,,
"36047003100, NY",36047003100,36047003100,37,,
"36061015900, NY",36061015900,36061015900,43,,
"36081020400, NY",36081020400,36081020400,33,,
"36081079900, NY",36081079900,36081079900,37,,
"36081077906, NY",36081077906,36081077906,36,,
"36005020100, NY",36005020100,36005020100,32,,
"36047046800, NY",36047046800,36047046800,18,,
"36047016800, NY",36047016800,36047016800,43,,
"36081010300, NY",36081010300,36081010300,35,,
"36047055700, NY",36047055700,36047055700,35,,
"36061013200, NY",36061013200,36061013200,35,,
"36047007500, NY",36047007500,36047007500,35,,
"36081059200, NY",36081059200,36081059200,45,,
"36081077300, NY",36081077300,36081077300,38,,
"36081009900, NY",36081009900,36081009900,N/A,,
"36047094600, NY",36047094600,36047094600,40,,
"36047101800, NY",36047101800,36047101800,41,,
"36081038100, NY",36081038100,36081038100,29,,
"36081112300, NY",36081112300,36081112300,40,,
"36047093200, NY",36047093200,36047093200,45,,
"36005024800, NY",36005024800,36005024800,37,,
"36061002900, NY",36061002900,36061002900,44,,
"36081044302, NY",36081044302,36081044302,35,,
"36081015802, NY",36081015802,36081015802,40,,
"36061008603, NY",36061008603,36061008603,57,,
"36005020501, NY",36005020501,36005020501,33,,
"36081077905, NY",36081077905,36081077905,42,,
"36081051100, NY",36081051100,36081051100,41,,
"36047072600, NY",36047072600,36047072600,41,,
"36081049302, NY",36081049302,36081049302,41,,
"36047051900, NY",36047051900,36047051900,35,,
"36081008500, NY",36081008500,36081008500,31,,
"36005034500, NY",36005034500,36005034500,39,,
"36081049600, NY",36081049600,36081049600,44,,
"36081094700, NY",36081094700,36081094700,37,,
"36081008700, NY",36081008700,36081008700,28,,
"36081024500, NY",36081024500,36081024500,40,,
"36005041800, NY",36005041800,36005041800,35,,
"36081024000, NY",36081024000,36081024000,34,,
"36005032400, NY",36005032400,36005032400,40,,
"36047019300, NY",36047019300,36047019300,28,,
"36081077903, NY",36081077903,36081077903,40,,
"36047013400, NY",36047013400,36047013400,36,,
"36005036000, NY",36005036000,36005036000,41,,
"36081065703, NY",36081065703,36081065703,41,,
"36005028500, NY",36005028500,36005028500,35,,
"36047016600, NY",36047016600,36047016600,38,,
"36047015200, NY",36047015200,36047015200,41,,
"36005027900, NY",36005027900,36005027900,39,,
"36061018900, NY",36061018900,36061018900,41,,
"36047030700, NY",36047030700,36047030700,29,,
"36005007100, NY",36005007100,36005007100,29,,
"36081062100, NY",36081062100,36081062100,41,,
"36005004400, NY",36005004400,36005004400,35,,
"36081068700, NY",36081068700,36081068700,42,,
"36005006500, NY",36005006500,36005006500,29,,
"36081061200, NY",36081061200,36081061200,51,,
"36047055500, NY",36047055500,36047055500,32,,
"36047027100, NY",36047027100,36047027100,36,,
"36047057000, NY",36047057000,36047057000,50,,
"36081004401, NY",36081004401,36081004401,34,,
"36061002000, NY",36061002000,36061002000,42,,
"36081029100, NY",36081029100,36081029100,38,,
"36081079000, NY",36081079000,36081079000,35,,
"36081023500, NY",36081023500,36081023500,32,,
"36081053401, NY",36081053401,36081053401,46,,
"36047036300, NY",36047036300,36047036300,39,,
"36047051300, NY",36047051300,36047051300,35,,
"36081061400, NY",36081061400,36081061400,43,,
"36047016000, NY",36047016000,36047016000,39,,
"36081061900, NY",36081061900,36081061900,35,,
"36047072200, NY",36047072200,36047072200,38,,
"36047017400, NY",36047017400,36047017400,43,,
"36081018200, NY",36081018200,36081018200,39,,
"36047029400, NY",36047029400,36047029400,52,,
"36081026400, NY",36081026400,36081026400,36,,
"36081063900, NY",36081063900,36081063900,42,,
"36047030300, NY",36047030300,36047030300,28,,
"36061010601, NY",36061010601,36061010601,60,,
"36081066701, NY",36081066701,36081066701,37,,
"36081067900, NY",36081067900,36081067900,55,,
"36081145101, NY",36081145101,36081145101,42,,
"36081116300, NY",36081116300,36081116300,47,,
"36081059300, NY",36081059300,36081059300,38,,
"36047097400, NY",36047097400,36047097400,41,,
"36081113300, NY",36081113300,36081113300,42,,
"36081051700, NY",36081051700,36081051700,39,,
"36047056500, NY",36047056500,36047056500,35,,
"36047092400, NY",36047092400,36047092400,30,,
"36047006500, NY",36047006500,36047006500,37,,
"36081046200, NY",36081046200,36081046200,32,,
"36047015900, NY",36047015900,36047015900,39,,
"36047038600, NY",36047038600,36047038600,39,,
"36005042100, NY",36005042100,36005042100,31,,
"36047019100, NY",36047019100,36047019100,30,,
"36085002700, NY",36085002700,36085002700,33,,
"36047089000, NY",36047089000,36047089000,36,,
"36085007700, NY",36085007700,36085007700,30,,
"36047014900, NY",36047014900,36047014900,35,,
"36047090000, NY",36047090000,36047090000,28,,
"36081068300, NY",36081068300,36081068300,41,,
"36081037300, NY",36081037300,36081037300,32,,
"36081045800, NY",36081045800,36081045800,37,,
"36047008500, NY",36047008500,36047008500,34,,
"36005006100, NY",36005006100,36005006100,50,,
"36081018700, NY",36081018700,36081018700,38,,
"36047057200, NY",36047057200,36047057200,37,,
"36061002100, NY",36061002100,36061002100,35,,
"36005016100, NY",36005016100,36005016100,35,,
"36081061800, NY",36081061800,36081061800,40,,
"36005029700, NY",36005029700,36005029700,44,,
"36047095000, NY",36047095000,36047095000,40,,
"36061002500, NY",36061002500,36061002500,42,,
"36005045800, NY",36005045800,36005045800,26,,
"36047016200, NY",36047016200,36047016200,39,,
"36081070300, NY",36081070300,36081070300,42,,
"36047022700, NY",36047022700,36047022700,34,,
"36081140901, NY",36081140901,36081140901,47,,
"36005044200, NY",36005044200,36005044200,37,,
"36005037504, NY",36005037504,36005037504,26,,
"36005024000, NY",36005024000,36005024000,27,,
"36005019300, NY",36005019300,36005019300,29,,
"36047038100, NY",36047038100,36047038100,32,,
"36081046600, NY",36081046600,36081046600,38,,
"36005028300, NY",36005028300,36005028300,32,,
"36047028200, NY",36047028200,36047028200,38,,
"36081055700, NY",36081055700,36081055700,34,,
"36061012400, NY",36061012400,36061012400,36,,
"36081025100, NY",36081025100,36081025100,39,,
"36081046400, NY",36081046400,36081046400,32,,
"36081061000, NY",36081061000,36081061000,39,,
"36047095600, NY",36047095600,36047095600,31,,
"36047008400, NY",36047008400,36047008400,32,,
"36047061200, NY",36047061200,36047061200,42,,
"36061019701, NY",36061019701,36061019701,38,,
"36047095400, NY",36047095400,36047095400,38,,
"36047028600, NY",36047028600,36047028600,40,,
"36047092000, NY",36047092000,36047092000,32,,
"36081043200, NY",36081043200,36081043200,39,,
"36047064200, NY",36047064200,36047064200,39,,
"36005029500, NY",36005029500,36005029500,36,,
"36005015300, NY",36005015300,36005015300,28,,
"36047095800, NY",36047095800,36047095800,42,,
"36005022000, NY",36005022000,36005022000,28,,
"36005013100, NY",36005013100,36005013100,31,,
"36081021200, NY",36081021200,36081021200,38,,
"36047038200, NY",36047038200,36047038200,34,,
"36047050400, NY",36047050400,36047050400,37,,
"36047032800, NY",36047032800,36047032800,47,,
"36047055100, NY",36047055100,36047055100,32,,
"36047036600, NY",36047036600,36047036600,36,,
"36081068200, NY",36081068200,36081068200,38,,
"36085000900, NY",36085000900,36085000900,30,,
"36047066200, NY",36047066200,36047066200,43,,
"36081048000, NY",36081048000,36081048000,38,,
"36081053000, NY",36081053000,36081053000,41,,
"36081016900, NY",36081016900,36081016900,39,,
"36081046800, NY",36081046800,36081046800,42,,
"36081047000, NY",36081047000,36081047000,40,,
"36081045400, NY",36081045400,36081045400,38,,
"36081067100, NY",36081067100,36081067100,48,,
"36047034200, NY",36047034200,36047034200,44,,
"36005007500, NY",36005007500,36005007500,30,,
"36047049300, NY",36047049300,36047049300,33,,
"36081036800, NY",36081036800,36081036800,39,,
"36081001200, NY",36081001200,36081001200,37,,
"36081055600, NY",36081055600,36081055600,44,,
"36047042200, NY",36047042200,36047042200,33,,
"36047036900, NY",36047036900,36047036900,30,,
"36081133900, NY",36081133900,36081133900,35,,
"36081048200, NY",36081048200,36081048200,45,,
"36005004300, NY",36005004300,36005004300,28,,
"36061019800, NY",36061019800,36061019800,43,,
"36061013700, NY",36061013700,36061013700,39,,
"36047012600, NY",36047012600,36047012600,33,,
"36047023200, NY",36047023200,36047023200,22,,
"36047045000, NY",36047045000,36047045000,30,,
"36047119200, NY",36047119200,36047119200,27,,
"36081048300, NY",36081048300,36081048300,33,,
"36081054800, NY",36081054800,36081054800,38,,
"36081051500, NY",36081051500,36081051500,48,,
"36081073900, NY",36081073900,36081073900,43,,
"36081077500, NY",36081077500,36081077500,45,,
"36081000400, NY",36081000400,36081000400,34,,
"36047037401, NY",36047037401,36047037401,43,,
"36005040600, NY",36005040600,36005040600,34,,
"36005039600, NY",36005039600,36005039600,36,,
"36081044601, NY",36081044601,36081044601,36,,
"36005036300, NY",36005036300,36005036300,29,,
"36081005700, NY",36081005700,36081005700,35,,
"36047061004, NY",36047061004,36047061004,50,,
"36047000100, NY",36047000100,36047000100,45,,
"36081010000, NY",36081010000,36081010000,40,,
"36081014000, NY",36081014000,36081014000,35,,
"36081019600, NY",36081019600,36081019600,32,,
"36061001800, NY",36061001800,36061001800,36,,
"36081002800, NY",36081002800,36081002800,32,,
"36081026100, NY",36081026100,36081026100,35,,
"36005022200, NY",36005022200,36005022200,32,,
"36081014400, NY",36081014400,36081014400,32,,
"36081059400, NY",36081059400,36081059400,44,,
"36047079400, NY",36047079400,36047079400,35,,
"36081070700, NY",36081070700,36081070700,46,,
"36081046000, NY",36081046000,36081046000,37,,
"36081004500, NY",36081004500,36081004500,47,,
"36047047800, NY",36047047800,36047047800,23,,
"36005019500, NY",36005019500,36005019500,34,,
"36081055400, NY",36081055400,36081055400,44,,
"36081017000, NY",36081017000,36081017000,37,,
"36047029800, NY",36047029800,36047029800,38,,
"36081050800, NY",36081050800,36081050800,38,,
"36047047700, NY",36047047700,36047047700,32,,
"36081025500, NY",36081025500,36081025500,34,,
"36081070900, NY",36081070900,36081070900,44,,
"36047011800, NY",36047011800,36047011800,32,,
"36047059200, NY",36047059200,36047059200,43,,
"36081016300, NY",36081016300,36081016300,42,,
"36047044800, NY",36047044800,36047044800,34,,
"36081040200, NY",36081040200,36081040200,44,,
"36047014500, NY",36047014500,36047014500,30,,
"36081119100, NY",36081119100,36081119100,39,,
"36081018900, NY",36081018900,36081018900,38,,
"36005007600, NY",36005007600,36005007600,31,,
"36061003200, NY",36061003200,36061003200,36,,
"36047014300, NY",36047014300,36047014300,32,,
"36005003900, NY",36005003900,36005003900,29,,
"36047017600, NY",36047017600,36047017600,37,,
"36005040400, NY",36005040400,36005040400,32,,
"36005038000, NY",36005038000,36005038000,37,,
"36047079200, NY",36047079200,36047079200,36,,
"36081050400, NY",36081050400,36081050400,42,,
"36081069500, NY",36081069500,36081069500,44,,
"36005043100, NY",36005043100,36005043100,34,,
"36047013600, NY",36047013600,36047013600,37,,
"36081062000, NY",36081062000,36081062000,48,,
"36047091600, NY",36047091600,36047091600,31,,
"36081060600, NY",36081060600,36081060600,49,,
"36047000301, NY",36047000301,36047000301,41,,
"36081071702, NY",36081071702,36081071702,51,,
"36005008300, NY",36005008300,36005008300,28,,
"36081056000, NY",36081056000,36081056000,42,,
"36081018300, NY",36081018300,36081018300,37,,
"36005027300, NY",36005027300,36005027300,32,,
"36005008700, NY",36005008700,36005008700,30,,
"36081000600, NY",36081000600,36081000600,31,,
"36081045200, NY",36081045200,36081045200,57,,
"36047082400, NY",36047082400,36047082400,32,,
"36081003400, NY",36081003400,36081003400,35,,
"36081010200, NY",36081010200,36081010200,34,,
"36081027300, NY",36081027300,36081027300,32,,
"36047029600, NY",36047029600,36047029600,41,,
"36081077907, NY",36081077907,36081077907,28,,
"36005007200, NY",36005007200,36005007200,31,,
"36081011700, NY",36081011700,36081011700,34,,
"36061024500, NY",36061024500,36061024500,35,,
"36081001400, NY",36081001400,36081001400,34,,
"36005006700, NY",36005006700,36005006700,28,,
"36047049100, NY",36047049100,36047049100,43,,
"36061018000, NY",36061018000,36061018000,30,,
"36081006300, NY",36081006300,36081006300,34,,
"36047117400, NY",36047117400,36047117400,30,,
"36081018402, NY",36081018402,36081018402,38,,
"36047019000, NY",36047019000,36047019000,33,,
"36081040100, NY",36081040100,36081040100,31,,
"36081025800, NY",36081025800,36081025800,34,,
"36047091000, NY",36047091000,36047091000,25,,
"36047072800, NY",36047072800,36047072800,42,,
"36081006900, NY",36081006900,36081006900,36,,
"36081119300, NY",36081119300,36081119300,42,,
"36081060800, NY",36081060800,36081060800,40,,
"36081016800, NY",36081016800,36081016800,37,,
"36005031400, NY",36005031400,36005031400,47,,
"36081073700, NY",36081073700,36081073700,41,,
"36081026700, NY",36081026700,36081026700,33,,
"36047030200, NY",36047030200,36047030200,38,,
"36005015100, NY",36005015100,36005015100,32,,
"36047040300, NY",36047040300,36047040300,28,,
"36081015600, NY",36081015600,36081015600,35,,
"36047091800, NY",36047091800,36047091800,32,,
"36005016700, NY",36005016700,36005016700,29,,
"36047016900, NY",36047016900,36047016900,36,,
"36005025100, NY",36005025100,36005025100,34,,
"36047048400, NY",36047048400,36047048400,26,,
"36047017000, NY",36047017000,36047017000,42,,
"36081014201, NY",36081014201,36081014201,34,,
"36061001600, NY",36061001600,36061001600,41,,
"36005045102, NY",36005045102,36005045102,39,,
"36047017100, NY",36047017100,36047017100,37,,
"36081019800, NY",36081019800,36081019800,31,,
"36047083600, NY",36047083600,36047083600,41,,
"36047067000, NY",36047067000,36047067000,39,,
"36061004900, NY",36061004900,36061004900,35,,
"36005043000, NY",36005043000,36005043000,38,,
"36005039100, NY",36005039100,36005039100,29,,
"36005033000, NY",36005033000,36005033000,32,,
"36047047600, NY",36047047600,36047047600,24,,
"36081059800, NY",36081059800,36081059800,40,,
"36081009600, NY",36081009600,36081009600,33,,
"36081050600, NY",36081050600,36081050600,42,,
"36081012200, NY",36081012200,36081012200,37,,
"36081044800, NY",36081044800,36081044800,35,,
"36047017200, NY",36047017200,36047017200,39,,
"36005007000, NY",36005007000,36005007000,33,,
"36005032800, NY",36005032800,36005032800,31,,
"36061003100, NY",36061003100,36061003100,24,,
"36047029700, NY",36047029700,36047029700,33,,
"36081043400, NY",36081043400,36081043400,33,,
"36047118400, NY",36047118400,36047118400,30,,
"36061016500, NY",36061016500,36061016500,44,,
"36047075800, NY",36047075800,36047075800,40,,
"36047049800, NY",36047049800,36047049800,38,,
"36005031200, NY",36005031200,36005031200,43,,
"36081071701, NY",36081071701,36081071701,47,,
"36005036400, NY",36005036400,36005036400,38,,
"36005039800, NY",36005039800,36005039800,37,,
"36047088200, NY",36047088200,36047088200,41,,
"36047006400, NY",36047006400,36047006400,40,,
"36081118900, NY",36081118900,36081118900,36,,
"36047049600, NY",36047049600,36047049600,31,,
"36081120500, NY",36081120500,36081120500,47,,
"36061003800, NY",36061003800,36061003800,34,,
"36061016800, NY",36061016800,36061016800,38,,
"36047011700, NY",36047011700,36047011700,32,,
"36047039800, NY",36047039800,36047039800,38,,
"36081009700, NY",36081009700,36081009700,35,,
"36081052500, NY",36081052500,36081052500,35,,
"36081059100, NY",36081059100,36081059100,36,,
"36081016600, NY",36081016600,36081016600,36,,
"36081013700, NY",36081013700,36081013700,35,,
"36047068200, NY",36047068200,36047068200,37,,
"36081077908, NY",36081077908,36081077908,31,,
"36047083000, NY",36047083000,36047083000,37,,
"36047070000, NY",36047070000,36047070000,37,,
"36081126500, NY",36081126500,36081126500,43,,
"36081039800, NY",36081039800,36081039800,41,,
"36061006500, NY",36061006500,36061006500,30,,
"36047014200, NY",36047014200,36047014200,34,,
"36047044000, NY",36047044000,36047044000,39,,
"36047051800, NY",36047051800,36047051800,44,,
"36005026500, NY",36005026500,36005026500,32,,
"36047074600, NY",36047074600,36047074600,32,,
"36005005400, NY",36005005400,36005005400,33,,
"36081040700, NY",36081040700,36081040700,32,,
"36081040300, NY",36081040300,36081040300,30,,
"36081004200, NY",36081004200,36081004200,31,,
"36081016400, NY",36081016400,36081016400,34,,
"36047043900, NY",36047043900,36047043900,32,,
"36047088800, NY",36047088800,36047088800,35,,
"36047026100, NY",36047026100,36047026100,27,,
"36005028900, NY",36005028900,36005028900,39,,
"36081018401, NY",36081018401,36081018401,34,,
"36005037100, NY",36005037100,36005037100,35,,
"36081019200, NY",36081019200,36081019200,39,,
"36081026300, NY",36081026300,36081026300,35,,
"36047064400, NY",36047064400,36047064400,31,,
"36081062500, NY",36081062500,36081062500,39,,
"36047082600, NY",36047082600,36047082600,40,,
"36005007900, NY",36005007900,36005007900,29,,
"36047059800, NY",36047059800,36047059800,37,,
"36081049700, NY",36081049700,36081049700,37,,
"36081010500, NY",36081010500,36081010500,35,,
"36047050000, NY",36047050000,36047050000,39,,
"36047113200, NY",36047113200,36047113200,37,,
"36047033700, NY",36047033700,36047033700,30,,
"36081075701, NY",36081075701,36081075701,40,,
"36061009200, NY",36061009200,36061009200,33,,
"36047038800, NY",36047038800,36047038800,34,,
"36047040200, NY",36047040200,36047040200,38,,
"36081005300, NY",36081005300,36081005300,37,,
"36081037900, NY",36081037900,36081037900,28,,
"36081028700, NY",36081028700,36081028700,39,,
"36081002500, NY",36081002500,36081002500,38,,
"36081052400, NY",36081052400,36081052400,46,,
"36081040000, NY",36081040000,36081040000,42,,
"36081036700, NY",36081036700,36081036700,37,,
"36047046000, NY",36047046000,36047046000,33,,
"36047090600, NY",36047090600,36047090600,27,,
"36081007100, NY",36081007100,36081007100,31,,
"36047035000, NY",36047035000,36047035000,56,,
"36081118100, NY",36081118100,36081118100,35,,
"36081085300, NY",36081085300,36081085300,45,,
"36081006100, NY",36081006100,36081006100,34,,
"36047048200, NY",36047048200,36047048200,32,,
"36061022400, NY",36061022400,36061022400,31,,
"36047054900, NY",36047054900,36047054900,30,,
"36081012400, NY",36081012400,36081012400,31,,
"36061010602, NY",36061010602,36061010602,38,,
"36047028000, NY",36047028000,36047028000,40,,
"36081059600, NY",36081059600,36081059600,42,,
"36081024900, NY",36081024900,36081024900,38,,
"36047030000, NY",36047030000,36047030000,41,,
"36047030100, NY",36047030100,36047030100,41,,
"36081056600, NY",36081056600,36081056600,37,,
"36081065900, NY",36081065900,36081065900,41,,
"36047093000, NY",36047093000,36047093000,42,,
"36047022000, NY",36047022000,36047022000,21,,
"36047053300, NY",36047053300,36047053300,19,,
"36047113000, NY",36047113000,36047113000,26,,
"36005006200, NY",36005006200,36005006200,29,,
"36081051300, NY",36081051300,36081051300,40,,
"36081074300, NY",36081074300,36081074300,41,,
"36061027100, NY",36061027100,36061027100,32,,
"36081072900, NY",36081072900,36081072900,49,,
"36005021001, NY",36005021001,36005021001,35,,
"36005037900, NY",36005037900,36005037900,26,,
"36047030600, NY",36047030600,36047030600,37,,
"36081055800, NY",36081055800,36081055800,48,,
"36047005800, NY",36047005800,36047005800,42,,
"36005028600, NY",36005028600,36005028600,44,,
"36081078800, NY",36081078800,36081078800,38,,
"36047055600, NY",36047055600,36047055600,35,,
"36005035000, NY",36005035000,36005035000,37,,
"36047012000, NY",36047012000,36047012000,32,,
"36081017200, NY",36081017200,36081017200,39,,
"36081013200, NY",36081013200,36081013200,31,,
"36081009100, NY",36081009100,36081009100,37,,
"36047021100, NY",36047021100,36047021100,34,,
"36047049000, NY",36047049000,36047049000,33,,
"36081017400, NY",36081017400,36081017400,38,,
"36005038500, NY",36005038500,36005038500,28,,
"36047072400, NY",36047072400,36047072400,39,,
"36081017600, NY",36081017600,36081017600,34,,
"36081008300, NY",36081008300,36081008300,32,,
"36061004100, NY",36061004100,36061004100,37,,
"36005025200, NY",36005025200,36005025200,38,,
"36047039400, NY",36047039400,36047039400,36,,
"36047040000, NY",36047040000,36047040000,36,,
"36061026500, NY",36061026500,36061026500,36,,
"36081063000, NY",36081063000,36081063000,47,,
"36047024200, NY",36047024200,36047024200,27,,
"36047012200, NY",36047012200,36047012200,29,,
"36081053601, NY",36081053601,36081053601,40,,
"36047059100, NY",36047059100,36047059100,33,,
"36047052700, NY",36047052700,36047052700,31,,
"36081052100, NY",36081052100,36081052100,41,,
"36081013000, NY",36081013000,36081013000,37,,
"36081005900, NY",36081005900,36081005900,34,,
"36081017800, NY",36081017800,36081017800,41,,
"36047021200, NY",36047021200,36047021200,34,,
"36047090200, NY",36047090200,36047090200,30,,
"36047052000, NY",36047052000,36047052000,33,,
"36047037700, NY",36047037700,36047037700,34,,
"36005025600, NY",36005025600,36005025600,36,,
"36081073100, NY",36081073100,36081073100,43,,
"36081015200, NY",36081015200,36081015200,32,,
"36081053200, NY",36081053200,36081053200,34,,
"36081000800, NY",36081000800,36081000800,33,,
"36081063500, NY",36081063500,36081063500,41,,
"36081119500, NY",36081119500,36081119500,43,,
"36047039300, NY",36047039300,36047039300,33,,
"36047080400, NY",36047080400,36047080400,31,,
"36047054400, NY",36047054400,36047054400,44,,
"36047019200, NY",36047019200,36047019200,32,,
"36081011200, NY",36081011200,36081011200,38,,
"36047099600, NY",36047099600,36047099600,37,,
"36081053800, NY",36081053800,36081053800,37,,
"36047037100, NY",36047037100,36047037100,33,,
"36061029100, NY",36061029100,36061029100,34,,
"36047008800, NY",36047008800,36047008800,36,,
"36081013400, NY",36081013400,36081013400,36,,
"36047026400, NY",36047026400,36047026400,38,,
"36047019900, NY",36047019900,36047019900,36,,
"36047067400, NY",36047067400,36047067400,40,,
"36047054200, NY",36047054200,36047054200,32,,
"36005006900, NY",36005006900,36005006900,27,,
"36005016500, NY",36005016500,36005016500,28,,
"36081056400, NY",36081056400,36081056400,40,,
"36081084500, NY",36081084500,36081084500,48,,
"36005008600, NY",36005008600,36005008600,32,,
"36047059300, NY",36047059300,36047059300,33,,
"36047038700, NY",36047038700,36047038700,31,,
"36081019000, NY",36081019000,36081019000,32,,
"36047019600, NY",36047019600,36047019600,34,,
"36005007400, NY",36005007400,36005007400,40,,
"36081115500, NY",36081115500,36081115500,36,,
"36047058400, NY",36047058400,36047058400,41,,
"36047076200, NY",36047076200,36047076200,35,,
"36081118700, NY",36081118700,36081118700,39,,
"36005037200, NY",36005037200,36005037200,32,,
"36047051700, NY",36047051700,36047051700,34,,
"36047057500, NY",36047057500,36047057500,33,,
"36081025900, NY",36081025900,36081025900,34,,
"36081026500, NY",36081026500,36081026500,34,,
"36047051500, NY",36047051500,36047051500,36,,
"36081010400, NY",36081010400,36081010400,42,,
"36081057700, NY",36081057700,36081057700,34,,
"36047016500, NY",36047016500,36047016500,38,,
"36081043702, NY",36081043702,36081043702,36,,
"36047077600, NY",36047077600,36047077600,44,,
"36047033300, NY",36047033300,36047033300,25,,
"36081067700, NY",36081067700,36081067700,46,,
"36081011500, NY",36081011500,36081011500,33,,
"36047045200, NY",36047045200,36047045200,31,,
"36005004100, NY",36005004100,36005004100,25,,
"36005033600, NY",36005033600,36005033600,35,,
"36081027000, NY",36081027000,36081027000,33,,
"36047006800, NY",36047006800,36047006800,34,,
"36047080200, NY",36047080200,36047080200,34,,
"36081051000, NY",36081051000,36081051000,42,,
"36047036700, NY",36047036700,36047036700,38,,
"36081119900, NY",36081119900,36081119900,42,,
"36081051600, NY",36081051600,36081051600,42,,
"36047073000, NY",36047073000,36047073000,46,,
"36081120300, NY",36081120300,36081120300,39,,
"36047056000, NY",36047056000,36047056000,45,,
"36005038700, NY",36005038700,36005038700,26,,
"36061012600, NY",36061012600,36061012600,39,,
"36047112800, NY",36047112800,36047112800,32,,
"36047021300, NY",36047021300,36047021300,36,,
"36047016300, NY",36047016300,36047016300,36,,
"36047035900, NY",36047035900,36047035900,34,,
"36061002800, NY",36061002800,36061002800,38,,
"36047037900, NY",36047037900,36047037900,35,,
"36061017000, NY",36061017000,36061017000,46,,
"36061023100, NY",36061023100,36061023100,33,,
"36005039300, NY",36005039300,36005039300,28,,
"36005005200, NY",36005005200,36005005200,34,,
"36081028200, NY",36081028200,36081028200,38,,
"36061010800, NY",36061010800,36061010800,43,,
"36061015700, NY",36061015700,36061015700,41,,
"36005040702, NY",36005040702,36005040702,30,,
"36047049400, NY",36047049400,36047049400,37,,
"36047056400, NY",36047056400,36047056400,42,,
"36047119400, NY",36047119400,36047119400,28,,
"36047079000, NY",36047079000,36047079000,37,,
"36081047300, NY",36081047300,36081047300,44,,
"36005039000, NY",36005039000,36005039000,30,,
"36005025000, NY",36005025000,36005025000,40,,
"36061013800, NY",36061013800,36061013800,37,,
"36061021800, NY",36061021800,36061021800,31,,
"36047044200, NY",36047044200,36047044200,32,,
"36081029500, NY",36081029500,36081029500,38,,
"36005008500, NY",36005008500,36005008500,31,,
"36047016100, NY",36047016100,36047016100,37,,
"36047088000, NY",36047088000,36047088000,38,,
"36047042300, NY",36047042300,36047042300,30,,
"36061013400, NY",36061013400,36061013400,37,,
"36005014500, NY",36005014500,36005014500,25,,
"36081052600, NY",36081052600,36081052600,36,,
"36005042300, NY",36005042300,36005042300,31,,
"36047024700, NY",36047024700,36047024700,34,,
"36061022200, NY",36061022200,36061022200,34,,
"36047002300, NY",36047002300,36047002300,30,,
"36061013900, NY",36061013900,36061013900,41,,
"36047069200, NY",36047069200,36047069200,37,,
"36081060300, NY",36081060300,36081060300,44,,
"36047005100, NY",36047005100,36047005100,38,,
"36047047000, NY",36047047000,36047047000,24,,
"36047116400, NY",36047116400,36047116400,35,,
"36081076901, NY",36081076901,36081076901,40,,
"36047035700, NY",36047035700,36047035700,28,,
"36005016200, NY",36005016200,36005016200,41,,
"36061022800, NY",36061022800,36061022800,35,,
"36047076000, NY",36047076000,36047076000,37,,
"36061023200, NY",36061023200,36061023200,28,,
"36047025700, NY",36047025700,36047025700,30,,
"36047096600, NY",36047096600,36047096600,34,,
"36061008800, NY",36061008800,36061008800,37,,
"36047025200, NY",36047025200,36047025200,36,,
"36047051400, NY",36047051400,36047051400,36,,
"36047033900, NY",36047033900,36047033900,38,,
"36047033500, NY",36047033500,36047033500,25,,
"36061016900, NY",36061016900,36061016900,41,,
"36081052800, NY",36081052800,36081052800,45,,
"36047054600, NY",36047054600,36047054600,40,,
"36047024100, NY",36047024100,36047024100,33,,
"36047073800, NY",36047073800,36047073800,35,,
"36047060600, NY",36047060600,36047060600,44,,
"36005022500, NY",36005022500,36005022500,27,,
"36081003600, NY",36081003600,36081003600,32,,
"36061023501, NY",36061023501,36061023501,36,,
"36047031500, NY",36047031500,36047031500,36,,
"36081004700, NY",36081004700,36081004700,33,,
"36061014000, NY",36061014000,36061014000,42,,
"36047088600, NY",36047088600,36047088600,37,,
"36061014200, NY",36061014200,36061014200,52,,
"36047089200, NY",36047089200,36047089200,33,,
"36047081600, NY",36047081600,36047081600,40,,
