,sub_distances,safety,age,income,count,BoroCT2010
0,0.548433079998,,0.170816929134,-0.170718237357,1,1000202
1,-0.11553864078,-0.121435577586,0.0333169291339,-0.182429538594,5,1000600
2,-0.0883238895807,-0.0156051597845,-0.116683070866,0.0635520844503,100,1000700
3,0.0149346963775,-0.0478564533976,0.0583169291339,-0.176582325513,7,1000800
4,-0.11338389825,-0.0226379307266,-0.104183070866,0.228811791837,82,1000900
5,0.399089289478,-0.305840195699,0.145816929134,-0.0449314370401,1,1001001
6,0.469851442833,0.0379240543326,0.0458169291339,-0.203097285266,2,1001002
7,0.15339249855,0.223101165187,0.120816929134,-0.117365582064,6,1001200
8,-0.141762523115,0.0833573467113,-0.154183070866,0.151127389467,74,1001300
9,-0.119551917911,-0.0292423850843,0.220816929134,0.00485003075383,2,1001401
10,-0.116334487038,-0.156136643185,0.0458169291339,-0.128998836085,22,1001402
11,-0.0455479572967,0.138600515746,0.195816929134,0.0782566019076,32,1001501
12,-0.073784244874,0.0242869798278,-0.229183070866,0.0730675167053,64,1001502
13,-0.0610017341669,0.0125502564878,0.0333169291339,-0.158749591245,37,1001600
14,-0.125028887736,-0.0468246292996,-0.0916830708661,-0.151278152307,126,1001800
15,0.488124413584,0.0193514724823,0.0333169291339,-0.178544052845,3,1002000
16,-0.130410019806,-0.0332042950956,-0.0541830708661,0.532550464443,115,1002100
17,0.0681671294419,-0.0280043507078,0.0708169291339,-0.147135321682,6,1002201
18,0.245686036289,0.0799177025403,-0.104183070866,0.0745018979807,7,1002202
19,0.202791831662,-0.188262777195,0.0708169291339,-0.197988356664,1,1002500
20,0.308299190956,0.0835265228399,0.0208169291339,-0.103449974309,13,1002601
21,0.254846282245,-0.0564035057164,0.0458169291339,-0.0277483931143,15,1002602
22,0.108939432178,-0.0651519333173,0.295816929134,-0.104749354993,12,1002700
23,0.159355515755,0.0205675068914,-0.0541830708661,-0.154670042146,19,1002800
24,-0.0916040256773,0.0011017200342,0.170816929134,-0.156576925489,36,1002900
25,-0.0665190207265,-0.0401457931416,-0.129183070866,-0.00897065471167,108,1003001
26,0.0367053030161,-0.161233377731,0.0458169291339,-0.0760321981059,65,1003002
27,-0.138604382262,0.00538221138105,-0.166683070866,-0.0503188043598,51,1003100
28,0.123628769044,0.0900648874051,-0.0541830708661,-0.102669502144,91,1003200
29,-0.120976326867,0.0261720773836,-0.0666830708661,0.224462241557,127,1003300
30,-0.0698580039576,0.000871210310875,-0.0541830708661,-0.0714042091085,70,1003400
31,-0.0891036290041,0.0114608120373,-0.104183070866,-0.0597519706299,31,1003601
32,-0.0778439864188,-0.151003550533,-0.0541830708661,-0.0254280704629,59,1003602
33,-0.0994699053937,0.00709963699946,0.0458169291339,0.117499586096,141,1003700
34,-0.00218083022005,0.077938870086,-0.116683070866,-0.100644493285,141,1003800
35,-0.0174454212484,-0.161340031696,-0.00418307086614,0.0347231301986,105,1003900
36,-0.0721743497308,0.0652968332642,-0.179183070866,-0.0210068011198,134,1004000
37,-0.124898812922,0.0762689300018,-0.00418307086614,-0.0505339615511,77,1004100
38,-0.119348655381,0.00392784909303,-0.241683070866,-0.0906017149726,70,1004200
39,-0.138478105082,0.0959587456514,-0.0791830708661,-0.0834023866005,118,1004300
40,0.0335189469782,-0.0319232352339,-0.0791830708661,-0.02453369155,47,1004400
