Census Tract,FIPS Code,Formatted FIPS,Estimated per capita income between 2010-2014.
"36061006200, NY",36061006200,36061006200,34052
"36085014604, NY",36085014604,36085014604,34440
"36005028400, NY",36005028400,36005028400,8527
"36081099802, NY",36081099802,36081099802,26241
"36061016200, NY",36061016200,36061016200,16391
"36085017010, NY",36085017010,36085017010,36324
"36081086400, NY",36081086400,36081086400,21725
"36047122000, NY",36047122000,36047122000,20102
"36085018901, NY",36085018901,36085018901,36479
"36085017009, NY",36085017009,36085017009,37945
"36081127700, NY",36081127700,36081127700,40733
"36081134700, NY",36081134700,36081134700,29638
"36081029400, NY",36081029400,36081029400,23984
"36081093401, NY",36081093401,36081093401,35724
"36081032000, NY",36081032000,36081032000,20483
"36061031100, NY",36061031100,36061031100,N/A
"36081138501, NY",36081138501,36081138501,26374
"36081152902, NY",36081152902,36081152902,37794
"36061025500, NY",36061025500,36061025500,28823
"36085013204, NY",36085013204,36085013204,37793
"36047062800, NY",36047062800,36047062800,30973
"36085017008, NY",36085017008,36085017008,36744
"36081121100, NY",36081121100,36081121100,N/A
"36005006300, NY",36005006300,36005006300,18802
"36005029301, NY",36005029301,36005029301,66664
"36085013203, NY",36085013203,36085013203,38987
"36085008100, NY",36085008100,36085008100,24775
"36085018702, NY",36085018702,36085018702,30337
"36085027302, NY",36085027302,36085027302,39221
"36081101001, NY",36081101001,36081101001,15536
"36081080900, NY",36081080900,36081080900,34209
"36081129102, NY",36081129102,36081129102,44077
"36085015100, NY",36085015100,36085015100,39063
"36085017012, NY",36085017012,36085017012,32337
"36081101700, NY",36081101700,36081101700,29510
"36085031902, NY",36085031902,36085031902,18854
"36085007400, NY",36085007400,36085007400,25988
"36005046202, NY",36005046202,36005046202,18002
"36081099701, NY",36081099701,36081099701,40823
"36081100801, NY",36081100801,36081100801,25737
"36085006700, NY",36085006700,36085006700,42316
"36061029900, NY",36061029900,36061029900,11258
"36005002400, NY",36005002400,36005002400,N/A
"36081157901, NY",36081157901,36081157901,35517
"36081147900, NY",36081147900,36081147900,35597
"36047015400, NY",36047015400,36047015400,N/A
"36085030302, NY",36085030302,36085030302,27136
"36081099200, NY",36081099200,36081099200,18588
"36081044400, NY",36081044400,36081044400,14433
"36081111300, NY",36081111300,36081111300,34752
"36081141700, NY",36081141700,36081141700,30286
"36085004700, NY",36085004700,36085004700,28736
"36047103400, NY",36047103400,36047103400,12008
"36081001900, NY",36081001900,36081001900,72713
"36005019400, NY",36005019400,36005019400,24396
"36085014605, NY",36085014605,36085014605,38007
"36081150701, NY",36081150701,36081150701,38492
"36081103900, NY",36081103900,36081103900,28146
"36085015602, NY",36085015602,36085015602,31777
"36061004400, NY",36061004400,36061004400,55265
"36081079300, NY",36081079300,36081079300,N/A
"36081150702, NY",36081150702,36081150702,36702
"36081093402, NY",36081093402,36081093402,39020
"36047069602, NY",36047069602,36047069602,34266
"36047109800, NY",36047109800,36047109800,19297
"36085003300, NY",36085003300,36085003300,35945
"36081056800, NY",36081056800,36081056800,26343
"36085013400, NY",36085013400,36085013400,38856
"36085013302, NY",36085013302,36085013302,16857
"36005045600, NY",36005045600,36005045600,27348
"36081104700, NY",36081104700,36081104700,26735
"36085005000, NY",36085005000,36085005000,32351
"36061013500, NY",36061013500,36061013500,61664
"36085012200, NY",36085012200,36085012200,39990
"36081091900, NY",36081091900,36081091900,22855
"36081033000, NY",36081033000,36081033000,23147
"36085010500, NY",36085010500,36085010500,27828
"36061012900, NY",36061012900,36061012900,90483
"36081065501, NY",36081065501,36081065501,N/A
"36047030400, NY",36047030400,36047030400,21125
"36061023801, NY",36061023801,36061023801,47856
"36047004600, NY",36047004600,36047004600,49591
"36081028800, NY",36081028800,36081028800,22588
"36085000800, NY",36085000800,36085000800,29528
"36085016901, NY",36085016901,36085016901,29709
"36085002002, NY",36085002002,36085002002,39446
"36085018902, NY",36085018902,36085018902,31504
"36047105804, NY",36047105804,36047105804,17350
"36061007900, NY",36061007900,36061007900,123063
"36061003900, NY",36061003900,36061003900,121974
"36085021300, NY",36085021300,36085021300,20973
"36047057900, NY",36047057900,36047057900,29846
"36061000202, NY",36061000202,36061000202,20614
"36081126700, NY",36081126700,36081126700,14902
"36081083700, NY",36081083700,36081083700,19625
"36047118000, NY",36047118000,36047118000,N/A
"36085009601, NY",36085009601,36085009601,30965
"36081136700, NY",36081136700,36081136700,32990
"36081068000, NY",36081068000,36081068000,30300
"36047005000, NY",36047005000,36047005000,48904
"36081037600, NY",36081037600,36081037600,26487
"36061000900, NY",36061000900,36061000900,115317
"36081033402, NY",36081033402,36081033402,25612
"36081137700, NY",36081137700,36081137700,29324
"36047110400, NY",36047110400,36047110400,17010
"36085012100, NY",36085012100,36085012100,39395
"36005029600, NY",36005029600,36005029600,26182
"36081084602, NY",36081084602,36081084602,16594
"36081157902, NY",36081157902,36081157902,31415
"36047011900, NY",36047011900,36047011900,47182
"36085017011, NY",36085017011,36085017011,35336
"36061031703, NY",36061031703,36061031703,118379
"36081061301, NY",36081061301,36081061301,24394
